arm,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC
AACDR,0,gdsc_intersect13,0.4205689694507044,0.5134588754727366
AACDR,0,tcga_only3,0.42925613413718416,0.6370200028978206
AACDR,0,dapl,0.4620513128963034,0.508353076882733
AACDR,0,aacdr_gdsc_intersect,0.5558244017529507,0.5875971023482359
AACDR,0,aacdr_tcga_only,0.4550967261904762,0.6373553213244951
AACDR,1,gdsc_intersect13,0.4429704113236487,0.5415102358641793
AACDR,1,tcga_only3,0.43758870789223536,0.6499615496778725
AACDR,1,dapl,0.5748202484346152,0.6073921585610246
AACDR,1,aacdr_gdsc_intersect,0.4608114062607057,0.54434762318395
AACDR,1,aacdr_tcga_only,0.49300595238095235,0.674490862152226
AACDR,2,gdsc_intersect13,0.4739324532261206,0.5514185859895695
AACDR,2,tcga_only3,0.3779704936390744,0.6080287707155327
AACDR,2,dapl,0.5645707716983709,0.5701181300140025
AACDR,2,aacdr_gdsc_intersect,0.5362771608515826,0.5787787817855575
AACDR,2,aacdr_tcga_only,0.5218377976190476,0.693886353282554
AACDR,3,gdsc_intersect13,0.5362894431268366,0.5878358071717132
AACDR,3,tcga_only3,0.5114994726356498,0.6473790320617495
AACDR,3,dapl,0.4966648159653831,0.5321045831476411
AACDR,3,aacdr_gdsc_intersect,0.48966406097673854,0.5556474585805457
AACDR,3,aacdr_tcga_only,0.5108258928571429,0.6623546629813387
AACDR,4,gdsc_intersect13,0.49387443492771493,0.5491866137263659
AACDR,4,tcga_only3,0.4837097586277242,0.6391482915516896
AACDR,4,dapl,0.5874760973116361,0.6060629749450331
AACDR,4,aacdr_gdsc_intersect,0.4887628506311274,0.5506923007046906
AACDR,4,aacdr_tcga_only,0.4887648809523809,0.6654798479889723
