candidate_id,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC
E-NH1,0,gdsc_intersect13,0.5042368095446935,0.5690773142886454
E-NH1,0,tcga_only3,0.41693414673316226,0.6378890169294306
E-NH1,0,dapl,0.46889242358145944,0.5394954805066605
E-NH1,0,aacdr_gdsc_intersect,0.6010819617458727,0.6220503803930347
E-NH1,0,aacdr_tcga_only,0.4783110119047619,0.6591644259312246
E-NH1,1,gdsc_intersect13,0.5548678268420395,0.5993724231720644
E-NH1,1,tcga_only3,0.41037356059915536,0.5984273368675311
E-NH1,1,dapl,0.4566577150008152,0.4936727481763172
E-NH1,1,aacdr_gdsc_intersect,0.5726988943948962,0.6052172697510364
E-NH1,1,aacdr_tcga_only,0.5077752976190476,0.6662885344091657
E-NH1,2,gdsc_intersect13,0.5975542335800388,0.6152278717620592
E-NH1,2,tcga_only3,0.5171659266203975,0.6625976242861046
E-NH1,2,dapl,0.5135628687632469,0.6030434571350062
E-NH1,2,aacdr_gdsc_intersect,0.552794854870818,0.5792679627093159
E-NH1,2,aacdr_tcga_only,0.4821056547619047,0.6433755675748836
E-NH1,3,gdsc_intersect13,0.5824306835861974,0.6104231739727243
E-NH1,3,tcga_only3,0.44156727042288973,0.6369276053052808
E-NH1,3,dapl,0.44962669592537274,0.5285186034657954
E-NH1,3,aacdr_gdsc_intersect,0.5242421212759106,0.5915750632114322
E-NH1,3,aacdr_tcga_only,0.5334449404761905,0.6642207428946588
E-NH1,4,gdsc_intersect13,0.5388898644481478,0.5735058664572907
E-NH1,4,tcga_only3,0.46005974625744933,0.6337242130187737
E-NH1,4,dapl,0.4562971675457498,0.5346537172174541
E-NH1,4,aacdr_gdsc_intersect,0.49992398282074696,0.5651430123370584
E-NH1,4,aacdr_tcga_only,0.4942708333333334,0.698465570899369
