candidate_id,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC
E-NH2,0,gdsc_intersect13,0.5288594548545537,0.5910928023777601
E-NH2,0,tcga_only3,0.494233173170827,0.7020573542553056
E-NH2,0,dapl,0.4194817155119613,0.5069356695255194
E-NH2,0,aacdr_gdsc_intersect,0.47988306718349366,0.5545011154678481
E-NH2,0,aacdr_tcga_only,0.588467261904762,0.7223976088698729
E-NH2,1,gdsc_intersect13,0.5298128380138336,0.5917378216335797
E-NH2,1,tcga_only3,0.5187008173062316,0.6636056914401973
E-NH2,1,dapl,0.4943815925725189,0.5700539147419873
E-NH2,1,aacdr_gdsc_intersect,0.5351572767524988,0.5932459510051276
E-NH2,1,aacdr_tcga_only,0.5671130952380953,0.7056880196900537
E-NH2,2,gdsc_intersect13,0.5584881426787505,0.5993423955377397
E-NH2,2,tcga_only3,0.5027567266082442,0.6681126698731021
E-NH2,2,dapl,0.4882061152458128,0.5634614047499493
E-NH2,2,aacdr_gdsc_intersect,0.5551357027128848,0.6197817209411837
E-NH2,2,aacdr_tcga_only,0.4654017857142857,0.6321806034365833
E-NH2,3,gdsc_intersect13,0.4901172715994924,0.5636744655113756
E-NH2,3,tcga_only3,0.4266106314916815,0.6493251626363862
E-NH2,3,dapl,0.49159110297390074,0.546070457089593
E-NH2,3,aacdr_gdsc_intersect,0.5247608773928171,0.5981250737049267
E-NH2,3,aacdr_tcga_only,0.44970238095238096,0.6713378145112582
E-NH2,4,gdsc_intersect13,0.5307417149369796,0.5729549121573868
E-NH2,4,tcga_only3,0.5199486959126007,0.6782530908864174
E-NH2,4,dapl,0.42028080646511645,0.5021161634423504
E-NH2,4,aacdr_gdsc_intersect,0.5098944821432082,0.6057038289343841
E-NH2,4,aacdr_tcga_only,0.5128720238095238,0.6770927163003769
