feature_id,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC
F2,0,gdsc_intersect13,0.5118654273186052,0.5625410992130179
F2,0,tcga_only3,0.4209192199348066,0.6322253019910763
F2,0,dapl,0.5120454259036491,0.5593981605985789
F2,0,aacdr_gdsc_intersect,0.5664158805369962,0.6103348163908097
F2,0,aacdr_tcga_only,0.47771577380952385,0.6276956597880714
F2,1,gdsc_intersect13,0.5450906756392224,0.5863053957564657
F2,1,tcga_only3,0.410435411973558,0.6313425422397804
F2,1,dapl,0.49649839165245596,0.5665049026890895
F2,1,aacdr_gdsc_intersect,0.531096139414046,0.5758600572354853
F2,1,aacdr_tcga_only,0.5050595238095238,0.6699512278429781
F2,2,gdsc_intersect13,0.5808720116401354,0.6020228471961108
F2,2,tcga_only3,0.4213066048586967,0.6070323484395681
F2,2,dapl,0.4846511692466324,0.5493782994496301
F2,2,aacdr_gdsc_intersect,0.5453351405205151,0.5873509502824078
F2,2,aacdr_tcga_only,0.49278273809523815,0.646605640623431
F2,3,gdsc_intersect13,0.48323635373864665,0.5753402778129553
F2,3,tcga_only3,0.4293228685148291,0.6239223486887036
F2,3,dapl,0.4482576749022874,0.5192923743651117
F2,3,aacdr_gdsc_intersect,0.5632632052494916,0.5932244939664145
F2,3,aacdr_tcga_only,0.6244047619047619,0.7247709991155425
F2,4,gdsc_intersect13,0.5041463474573149,0.5604090149769996
F2,4,tcga_only3,0.5849772777582457,0.742156224066238
F2,4,dapl,0.4879393300461353,0.5385264474770897
F2,4,aacdr_gdsc_intersect,0.507150107758409,0.5626934134494037
F2,4,aacdr_tcga_only,0.5989955357142858,0.7430883382936712
