candidate_id,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC,Global_AUC,n_rows
B2,0,gdsc_intersect13,0.5044345623312713,0.5723855250572482,0.47901817721732526,
B2,0,tcga_only3,0.5190556488751731,0.6590257207709715,0.48943850267379685,
B2,0,dapl,0.5455337345389331,0.5725783337663658,0.5360699693564862,
B2,0,aacdr_gdsc_intersect,0.5266492310687443,0.614235396751958,0.3973707213838793,
B2,0,aacdr_tcga_only,0.49579613095238095,0.6295380871497656,0.3697783461210571,
B2,1,gdsc_intersect13,0.49552945702499523,0.5631326879534332,0.5030392012146261,
B2,1,tcga_only3,0.48777350243716117,0.6412733874791782,0.4593582887700535,
B2,1,dapl,0.47005901974522013,0.5300079594181035,0.48206077630234934,
B2,1,aacdr_gdsc_intersect,0.4893779074376553,0.5691370754282721,0.4909942031652558,
B2,1,aacdr_tcga_only,0.46953125,0.6231733942725023,0.46355498721227617,
B2,2,gdsc_intersect13,0.4716059116648625,0.5631380019219818,0.5211637003922232,
B2,2,tcga_only3,0.5212774153504259,0.6654683386669414,0.4802139037433155,
B2,2,dapl,0.4985965955909245,0.5277981853801377,0.5043411644535241,
B2,2,aacdr_gdsc_intersect,0.5330114503352857,0.5944488668133662,0.5181496135443504,
B2,2,aacdr_tcga_only,0.38117559523809524,0.6236785619163806,0.39769820971867004,
B2,3,gdsc_intersect13,0.4542292059099608,0.5450602145745516,0.5585066003120914,
B2,3,tcga_only3,0.4193089139766744,0.6445469062674639,0.4280748663101604,
B2,3,dapl,0.46971064285431013,0.5419537198552001,0.4789325842696629,
B2,3,aacdr_gdsc_intersect,0.5329869470852575,0.6002253590335608,0.5988222304011778,
B2,3,aacdr_tcga_only,0.5274181547619048,0.6561189420730645,0.4296675191815857,
B2,4,gdsc_intersect13,0.49430533457480413,0.5641129127605069,0.47472691999493905,
B2,4,tcga_only3,0.49204043343707005,0.6546408904479778,0.4537433155080214,
B2,4,dapl,0.4885582596357644,0.5393779040803502,0.491317671092952,
B2,4,aacdr_gdsc_intersect,0.5495577026547386,0.6357444291181723,0.4251357195436143,
B2,4,aacdr_tcga_only,0.554873511904762,0.657678628592721,0.39663256606990627,
