feature_id,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC
F0,0,gdsc_intersect13,0.5298745700228684,0.5779967397115378
F0,0,tcga_only3,0.4333144523874631,0.6208904763824313
F0,0,dapl,0.5058915995787452,0.559265438680919
F0,0,aacdr_gdsc_intersect,0.5359605147641882,0.5904927918139575
F0,0,aacdr_tcga_only,0.4264136904761905,0.6200876762537486
F0,1,gdsc_intersect13,0.508575441062131,0.564938203341446
F0,1,tcga_only3,0.4359029866618054,0.6160067296273565
F0,1,dapl,0.518678330491185,0.5846885869211389
F0,1,aacdr_gdsc_intersect,0.5283344432278313,0.5843675779800613
F0,1,aacdr_tcga_only,0.45368303571428575,0.6408125509248168
F0,2,gdsc_intersect13,0.5492654960434984,0.5884070580838782
F0,2,tcga_only3,0.4510614563936959,0.6215845123120017
F0,2,dapl,0.42665959214068855,0.5024938598835291
F0,2,aacdr_gdsc_intersect,0.5579248209779052,0.605695394965129
F0,2,aacdr_tcga_only,0.38545386904761914,0.6223827814303221
F0,3,gdsc_intersect13,0.5364026254869897,0.5977259440972346
F0,3,tcga_only3,0.41638345247861247,0.6069967464957358
F0,3,dapl,0.4983111183082828,0.5329603508200835
F0,3,aacdr_gdsc_intersect,0.5206572095161999,0.5821046809636465
F0,3,aacdr_tcga_only,0.4677083333333333,0.6438168218309771
F0,4,gdsc_intersect13,0.5403425003915319,0.5838948905376072
F0,4,tcga_only3,0.4416844625007053,0.6259597422810667
F0,4,dapl,0.47580118841460994,0.5441943738121702
F0,4,aacdr_gdsc_intersect,0.5066396296031994,0.5493408229860892
F0,4,aacdr_tcga_only,0.4422247023809524,0.6523981854770418
