model,seed,drug_macro_auc,drug_macro_auprc,sample_auc,sample_auprc,brier,ece,best_epoch,training_time
pooled_baseline,17,0.7459195062764721,0.47889506311494934,0.6240338853999982,0.3267829775709571,,,28,0.0
pooled_baseline,29,0.7153246712603748,0.5156876573161692,0.6948680394732912,0.5384054221683582,,,16,0.0
pooled_baseline,43,0.7761546519141169,0.5552120475207903,0.6636412248268991,0.35302517699577385,,,19,0.0
biocda_xa_z,17,0.7007009011388861,0.4436033445386991,0.6812619804450167,0.4054674104059823,,,27,0.0
biocda_xa_z,29,0.6881834212140686,0.475468864976847,0.6980246589318119,0.5267676034646345,,,15,0.0
biocda_xa_z,43,0.7524939542623611,0.5205186508351278,0.687192552589508,0.3544444576045917,,,31,0.0
biocda_xa_zc,17,0.6868089687459034,0.4203891289792755,0.5634894038484751,0.2814077980275171,,,2,0.0
biocda_xa_zc,29,0.6944170078682083,0.4769370925636222,0.6801843185385912,0.491047225040672,,,16,0.0
biocda_xa_zc,43,0.7446926468162004,0.5175873939027583,0.6419482130463365,0.3230104994446421,,,15,0.0
