target_key,fold_id,DrugMacro_AUC,DrugMacro_AUPRC,Global_AUC,Global_AUPRC,n_rows,n_valid_auc_drugs
gdsc_intersect13,0,0.5606290407114028,0.595470099302458,0.5740821770486273,0.634854377461866,886,11
gdsc_intersect13,1,0.5326154555219174,0.5943811972862378,0.5794646999283033,0.6479400408257078,886,11
gdsc_intersect13,2,0.5375066875601954,0.5875349440466143,0.6364925561975454,0.6960233034857028,886,11
gdsc_intersect13,3,0.4830405901888545,0.6011724668964521,0.6184787651301084,0.6794745804903606,886,11
gdsc_intersect13,4,0.535162634577801,0.6030065834021591,0.6063931297709924,0.6595665900929832,886,11
tcga_only3,0,0.6145015430290246,0.7499719008195528,0.5084224598930482,0.6457192700400018,129,3
tcga_only3,1,0.5632245834255678,0.7279862808179337,0.4763368983957219,0.6300952264552002,129,3
tcga_only3,2,0.5067746244427951,0.6510993143277646,0.44839572192513366,0.6129712107989906,129,3
tcga_only3,3,0.4132849156434062,0.6128654574525146,0.44278074866310163,0.6131009800174788,129,3
tcga_only3,4,0.6209481924207109,0.7391167500257545,0.55,0.6559095588531717,129,3
dapl,0,0.49969472131523174,0.5578713417841838,0.49131767109295205,0.5029329454054419,177,5
dapl,1,0.54532130377499,0.576079220199228,0.5371552604698672,0.5261426902094508,177,5
dapl,2,0.5051954847295111,0.552100363479555,0.4935520939734423,0.5038530290193055,177,5
dapl,3,0.5152792983638919,0.595005138028585,0.5126404494382023,0.5473215117511565,177,5
dapl,4,0.4762867859928351,0.5216238428643885,0.4848697650663943,0.49739857037079993,177,5
aacdr_gdsc_intersect,0,0.6049823303850678,0.6324256968270776,0.6161667280088333,0.6039177855942655,417,7
aacdr_gdsc_intersect,1,0.5778602399862331,0.6079623563072513,0.6131417924181083,0.5965408831493921,417,7
aacdr_gdsc_intersect,2,0.5317580948296209,0.5659968224160472,0.6962412587412588,0.6676231239683387,417,7
aacdr_gdsc_intersect,3,0.4387281278869554,0.535849936579944,0.6652788001472213,0.6274824741365854,417,7
aacdr_gdsc_intersect,4,0.4890605050336692,0.540326403950316,0.6274613544350387,0.5729692502489631,417,7
aacdr_tcga_only,0,0.40662202380952384,0.6504890038156591,0.44160272804774087,0.4964343620785888,97,4
aacdr_tcga_only,1,0.46783854166666666,0.6658522662976087,0.4454390451832907,0.5318828591395346,97,4
aacdr_tcga_only,2,0.4348958333333333,0.6205862301358993,0.37084398976982097,0.4340829570145797,97,4
aacdr_tcga_only,3,0.5383556547619047,0.6820588698111975,0.3823529411764706,0.4526524180903787,97,4
aacdr_tcga_only,4,0.5825520833333333,0.6606917484602621,0.40302642796248933,0.45136650210397655,97,4
