feature_id,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC
F3,0,gdsc_intersect13,0.5257291913186162,0.5841560423679237
F3,0,tcga_only3,0.4401148482362592,0.6215486542176933
F3,0,dapl,0.5140884987728088,0.5641996520764235
F3,0,aacdr_gdsc_intersect,0.5628074075317576,0.6079958346344443
F3,0,aacdr_tcga_only,0.47734375,0.6490068295385034
F3,1,gdsc_intersect13,0.4901107872840758,0.5497993554453154
F3,1,tcga_only3,0.4044043604133842,0.603069128188611
F3,1,dapl,0.4562464076566156,0.5310980786668856
F3,1,aacdr_gdsc_intersect,0.46616834263225154,0.539534116965042
F3,1,aacdr_tcga_only,0.3952008928571429,0.6237329193224008
F3,2,gdsc_intersect13,0.5311821080870774,0.5997688043284619
F3,2,tcga_only3,0.5135937384706869,0.6856239446135067
F3,2,dapl,0.45510387942240493,0.5160864200381943
F3,2,aacdr_gdsc_intersect,0.5775108862304006,0.6322913358648405
F3,2,aacdr_tcga_only,0.44419642857142855,0.6401156211623636
F3,3,gdsc_intersect13,0.42973964913579654,0.5336149733510362
F3,3,tcga_only3,0.3881455872842255,0.5870180270901443
F3,3,dapl,0.4387260598569672,0.4991293067459989
F3,3,aacdr_gdsc_intersect,0.5035964005093476,0.5823767227603881
F3,3,aacdr_tcga_only,0.5613467261904761,0.7141215717117754
F3,4,gdsc_intersect13,0.5226080060520365,0.5916544950449126
F3,4,tcga_only3,0.5258424808260739,0.6914823396526236
F3,4,dapl,0.4662432151969013,0.5223875189656715
F3,4,aacdr_gdsc_intersect,0.5237023324787399,0.5826392286494891
F3,4,aacdr_tcga_only,0.48668154761904764,0.6517908018647308
