arm,fold_id,target_key,DrugMacro_AUC,DrugMacro_AUPRC
NoHoldout,0,gdsc_intersect13,0.5416078777286615,0.6029620882576932
NoHoldout,0,tcga_only3,0.3760129518948223,0.5780771482520627
NoHoldout,0,dapl,0.5054245420615932,0.5664523227332606
NoHoldout,0,aacdr_gdsc_intersect,0.5529615295973059,0.6036058231181295
NoHoldout,0,aacdr_tcga_only,0.5413318452380952,0.6770578253638005
NoHoldout,1,gdsc_intersect13,0.5888561997673025,0.6175345261320454
NoHoldout,1,tcga_only3,0.4868929341857972,0.6277355897173752
NoHoldout,1,dapl,0.4573431266276257,0.5128708164706067
NoHoldout,1,aacdr_gdsc_intersect,0.5871419152817493,0.6096424824186787
NoHoldout,1,aacdr_tcga_only,0.5158110119047619,0.6508205437148508
NoHoldout,2,gdsc_intersect13,0.5627832094273967,0.619153025906623
NoHoldout,2,tcga_only3,0.503290601629404,0.6322031175197919
NoHoldout,2,dapl,0.4849789570857624,0.5480786924798984
NoHoldout,2,aacdr_gdsc_intersect,0.5524435765373005,0.6244255425370479
NoHoldout,2,aacdr_tcga_only,0.4580357142857143,0.6288323014674244
NoHoldout,3,gdsc_intersect13,0.581029693682499,0.6235425158488254
NoHoldout,3,tcga_only3,0.6250027127795791,0.7246840602386838
NoHoldout,3,dapl,0.5076927329129598,0.5517073654379727
NoHoldout,3,aacdr_gdsc_intersect,0.5610267184171883,0.6242794444534561
NoHoldout,3,aacdr_tcga_only,0.5453497023809524,0.6770020878907145
NoHoldout,4,gdsc_intersect13,0.574217336824887,0.5970966667187854
NoHoldout,4,tcga_only3,0.43128746348598684,0.6213479348028904
NoHoldout,4,dapl,0.4546542339198294,0.5287858329209573
NoHoldout,4,aacdr_gdsc_intersect,0.5706151765165527,0.6310746601240781
NoHoldout,4,aacdr_tcga_only,0.42485119047619047,0.6321759602622974
